time,Open,Close,Low,High,volume,complete
2024-05-02 21:00:00+00:00,84.387,83.486,83.466,85.057,42359,True
2024-05-05 21:00:00+00:00,83.655,84.101,83.360,84.422,42119,True
2024-05-06 21:00:00+00:00,84.061,83.650,82.976,84.434,39651,True
2024-05-07 21:00:00+00:00,83.589,84.321,82.253,84.361,40005,True
2024-05-08 21:00:00+00:00,84.260,84.685,83.975,84.867,32082,True
2024-05-09 21:00:00+00:00,84.705,83.213,83.193,85.037,27504,True
2024-05-12 21:00:00+00:00,83.024,83.861,82.699,84.265,32126,True
2024-05-13 21:00:00+00:00,83.851,83.125,82.504,84.038,36263,True
2024-05-14 21:00:00+00:00,83.180,83.327,81.426,83.455,44267,True
2024-05-15 21:00:00+00:00,83.292,83.751,82.662,84.145,28729,True
2024-05-16 21:00:00+00:00,83.731,84.275,83.410,84.368,31950,True
2024-05-19 21:00:00+00:00,84.312,83.918,83.375,84.753,39084,True
2024-05-20 21:00:00+00:00,83.933,82.742,82.284,84.001,44413,True
2024-05-21 21:00:00+00:00,82.742,81.861,81.789,82.854,40550,True
2024-05-22 21:00:00+00:00,81.982,81.608,81.121,83.159,42620,True
2024-05-23 21:00:00+00:00,81.648,82.340,80.848,82.567,33598,True
2024-05-26 21:00:00+00:00,82.251,83.210,82.235,83.336,14255,True
2024-05-27 21:00:00+00:00,83.187,84.709,83.138,84.719,32258,True
2024-05-28 21:00:00+00:00,84.668,83.773,83.502,85.084,31199,True
2024-05-29 21:00:00+00:00,83.727,82.244,82.175,83.936,45583,True
2024-05-30 21:00:00+00:00,82.269,81.660,81.081,83.025,44315,True
2024-06-02 21:00:00+00:00,81.044,78.379,78.369,81.956,49462,True
2024-06-03 21:00:00+00:00,78.399,77.455,77.031,78.498,46362,True
2024-06-04 21:00:00+00:00,77.430,78.848,77.369,78.863,37494,True
2024-06-05 21:00:00+00:00,78.863,80.236,78.630,80.339,33537,True
2024-06-06 21:00:00+00:00,80.251,79.739,79.563,80.619,34835,True
2024-06-09 21:00:00+00:00,79.705,82.336,79.575,82.376,37921,True
2024-06-10 21:00:00+00:00,82.171,82.335,81.401,82.553,39928,True
2024-06-11 21:00:00+00:00,82.299,82.578,82.158,83.529,38140,True
2024-06-12 21:00:00+00:00,82.714,82.256,81.986,83.225,39979,True
2024-06-13 21:00:00+00:00,82.296,82.765,82.094,83.566,36197,True
2024-06-16 21:00:00+00:00,82.681,84.648,82.241,84.678,34205,True
2024-06-17 21:00:00+00:00,84.493,85.532,83.791,85.608,35678,True
2024-06-18 21:00:00+00:00,85.527,85.397,85.021,85.910,21454,True
2024-06-19 21:00:00+00:00,85.361,85.625,85.096,86.044,34839,True
2024-06-20 21:00:00+00:00,85.624,85.097,84.822,86.184,38013,True
2024-06-23 21:00:00+00:00,85.128,86.067,84.708,86.095,30918,True
2024-06-24 21:00:00+00:00,86.046,84.909,84.728,86.199,31795,True
2024-06-25 21:00:00+00:00,84.889,85.245,84.488,85.808,33559,True
2024-06-26 21:00:00+00:00,85.255,86.030,84.853,86.335,31393,True
2024-06-27 21:00:00+00:00,86.010,85.640,85.253,86.922,33506,True
2024-06-30 21:00:00+00:00,85.656,87.318,85.549,87.561,30278,True
2024-07-01 21:00:00+00:00,87.307,87.245,86.814,88.119,36575,True
2024-07-02 21:00:00+00:00,87.270,87.691,86.523,88.020,35781,True
2024-07-03 21:00:00+00:00,87.690,88.160,87.126,88.200,15780,True
2024-07-04 21:00:00+00:00,88.048,87.464,87.079,88.552,32599,True
2024-07-07 21:00:00+00:00,86.940,86.175,86.066,87.448,37283,True
2024-07-08 21:00:00+00:00,86.169,85.504,85.018,86.357,32707,True
2024-07-09 21:00:00+00:00,85.514,85.869,84.474,86.125,33122,True
2024-07-10 21:00:00+00:00,85.818,86.083,85.089,86.346,35937,True
2024-07-11 21:00:00+00:00,85.962,85.423,85.374,86.780,35255,True
2024-07-14 21:00:00+00:00,85.548,85.276,84.781,85.749,35714,True
2024-07-15 21:00:00+00:00,85.266,84.055,83.636,85.286,35103,True
2024-07-16 21:00:00+00:00,84.225,85.493,83.750,85.504,35469,True
2024-07-17 21:00:00+00:00,85.483,85.152,84.514,86.106,36665,True
2024-07-18 21:00:00+00:00,85.056,83.011,82.928,85.669,40795,True
2024-07-21 21:00:00+00:00,83.246,82.604,81.928,83.492,38985,True
2024-07-22 21:00:00+00:00,82.655,81.839,80.937,83.079,40276,True
2024-07-23 21:00:00+00:00,81.884,81.861,81.331,82.544,41268,True
2024-07-24 21:00:00+00:00,81.764,82.715,80.479,82.773,45335,True
2024-07-25 21:00:00+00:00,82.624,80.810,80.585,82.921,42791,True
2024-07-28 21:00:00+00:00,81.776,80.173,79.688,81.951,47229,True
2024-07-29 21:00:00+00:00,80.178,79.517,78.962,80.238,46037,True
2024-07-30 21:00:00+00:00,79.548,82.562,79.457,82.608,47136,True
2024-07-31 21:00:00+00:00,82.456,81.056,80.392,82.795,53511,True
